Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count
Call of Duty: Black Ops,2010.0,9.7,3.68,0.11,1.13,14.61,1454.0
Pokemon X/Pokemon Y,2013.0,5.28,4.19,4.35,0.78,14.6,24.0
Call of Duty: Black Ops II,2012.0,4.99,5.73,0.65,2.42,13.79,922.0
Call of Duty: Black Ops II,2012.0,8.25,4.24,0.07,1.12,13.67,2256.0
Call of Duty: Modern Warfare 2,2009.0,8.52,3.59,0.08,1.28,13.47,2698.0
Call of Duty: Modern Warfare 3,2011.0,5.54,5.73,0.49,1.57,13.32,5234.0
Grand Theft Auto III,2001.0,6.99,4.51,0.3,1.3,13.1,664.0
Super Smash Bros. Brawl,2008.0,6.62,2.55,2.66,1.01,12.84,1662.0
Mario Kart 7,2011.0,5.03,4.02,2.69,0.91,12.66,632.0
Call of Duty: Black Ops,2010.0,5.99,4.37,0.48,1.79,12.63,1094.0
Grand Theft Auto V,2014.0,3.96,6.31,0.38,1.97,12.61,2899.0
Animal Crossing: Wild World,2005.0,2.5,3.45,5.33,0.86,12.13,242.0
Halo 3,2007.0,7.97,2.81,0.13,1.21,12.12,4100.0
Super Mario 64,1996.0,6.91,2.85,1.91,0.23,11.89,24.0
Pokemon HeartGold/Pokemon SoulSilver,2009.0,4.34,2.71,3.96,0.76,11.77,24.0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,4.35,3.49,3.1,0.74,11.68,24.0
Gran Turismo 4,2004.0,3.01,0.01,1.1,7.53,11.66,272.0
Super Mario Galaxy,2007.0,6.06,3.35,1.2,0.74,11.35,2147.0
Super Mario Land 2: 6 Golden Coins,1992.0,6.16,2.04,2.69,0.29,11.18,24.0
Grand Theft Auto IV,2008.0,6.76,3.07,0.14,1.03,11.01,2951.0
Gran Turismo,1997.0,4.02,3.87,2.54,0.52,10.95,138.0
Super Mario 3D Land,2011.0,4.89,3.0,2.14,0.78,10.81,921.0
Gran Turismo 5,2010.0,2.96,4.82,0.81,2.11,10.7,1112.0
Call of Duty: Modern Warfare 2,2009.0,4.99,3.64,0.38,1.6,10.6,2073.0
Super Mario All-Stars,1993.0,5.99,2.15,2.12,0.29,10.55,24.0
Grand Theft Auto IV,2008.0,4.76,3.69,0.44,1.61,10.5,2833.0
Pokemon FireRed/Pokemon LeafGreen,2004.0,4.34,2.65,3.15,0.35,10.49,24.0
Super Mario 64,2004.0,5.01,3.07,1.25,0.97,10.3,24.0
Call of Duty: Ghosts,2013.0,6.73,2.56,0.04,0.91,10.25,2117.0
Just Dance 3,2011.0,5.95,3.11,0.0,1.06,10.12,16.0
New Super Mario Bros. 2,2012.0,3.66,3.14,2.47,0.63,9.9,424.0
Mario Kart 64,1996.0,5.55,1.94,2.23,0.15,9.87,24.0
Halo: Reach,2010.0,7.04,1.95,0.08,0.79,9.86,2045.0
Final Fantasy VII,1997.0,3.01,2.47,3.28,0.96,9.72,1282.0
Halo 4,2012.0,6.65,2.28,0.04,0.74,9.71,3260.0
Gran Turismo 2,1999.0,3.88,3.42,1.69,0.5,9.49,135.0
Just Dance 2,2010.0,5.8,2.85,0.01,0.78,9.44,24.0
Call of Duty: Ghosts,2013.0,4.1,3.63,0.38,1.25,9.36,1047.0
Call of Duty 4: Modern Warfare,2007.0,5.93,2.36,0.13,0.9,9.31,1320.0
Donkey Kong Country,1994.0,4.36,1.71,3.0,0.23,9.3,24.0
Minecraft,2013.0,5.7,2.65,0.02,0.81,9.18,24.0
Animal Crossing: New Leaf,2012.0,2.03,2.36,4.39,0.39,9.16,626.0
Mario Party DS,2007.0,4.4,1.85,1.98,0.68,8.91,85.0
The Elder Scrolls V: Skyrim,2011.0,5.05,2.79,0.1,0.85,8.79,3589.0
Super Mario Kart,1992.0,3.54,1.24,3.81,0.18,8.76,24.0
FIFA 16,2015.0,1.12,6.12,0.06,1.28,8.57,896.0
Halo 2,2004.0,6.82,1.53,0.05,0.08,8.49,1218.0
Wii Party,2010.0,1.75,3.47,2.49,0.67,8.38,54.0
Mario Party 8,2007.0,3.74,2.24,1.58,0.7,8.27,190.0
FIFA Soccer 13,2012.0,1.06,5.01,0.13,1.97,8.16,348.0
GoldenEye 007,1997.0,5.8,2.01,0.13,0.15,8.09,24.0
Pokemon Black 2/Pokemon White 2,2012.0,2.79,1.72,3.14,0.41,8.07,24.0
Final Fantasy X,2001.0,2.91,2.07,2.73,0.33,8.05,1056.0
The Sims 3,2009.0,0.99,6.42,0.0,0.6,8.01,886.0
Mario & Sonic at the Olympic Games,2007.0,2.57,3.86,0.66,0.91,7.99,24.0
Star Wars Battlefront (2015),2015.0,2.99,3.49,0.22,1.28,7.98,24.0
Final Fantasy VIII,1999.0,2.28,1.72,3.63,0.23,7.86,644.0
Pac-Man,1982.0,7.28,0.45,0.0,0.08,7.81,24.0
Pokémon Platinum Version,2008.0,2.76,1.72,2.69,0.54,7.72,203.0
Grand Theft Auto: Liberty City Stories,2005.0,2.9,2.81,0.24,1.73,7.69,451.0
Call of Duty: Advanced Warfare,2014.0,2.81,3.48,0.14,1.23,7.66,1443.0
The Legend of Zelda: Ocarina of Time,1998.0,4.1,1.89,1.45,0.16,7.6,24.0
FIFA 17,2016.0,0.66,5.75,0.08,1.11,7.59,398.0
Crash Bandicoot 2: Cortex Strikes Back,1997.0,3.78,2.17,1.31,0.31,7.58,24.0
Super Smash Bros. for Wii U and 3DS,2014.0,3.27,1.37,2.43,0.48,7.55,24.0
Super Mario Galaxy 2,2010.0,3.56,2.35,0.98,0.62,7.51,1854.0
Super Mario Bros. 2,1988.0,5.39,1.18,0.7,0.19,7.46,24.0
Call of Duty: Black Ops 3,2015.0,4.59,2.11,0.01,0.68,7.39,24.0
Call of Duty: World at War,2008.0,4.81,1.88,0.0,0.69,7.38,580.0
Battlefield 3,2011.0,4.46,2.11,0.06,0.69,7.32,2142.0
Need for Speed Underground,2003.0,3.27,2.83,0.08,1.02,7.2,171.0
Just Dance,2009.0,3.48,2.99,0.0,0.73,7.2,110.0
Battlefield 3,2011.0,2.85,2.89,0.35,1.08,7.17,1761.0
Fallout 4,2015.0,2.53,3.27,0.24,1.13,7.16,4228.0
Tekken 3,1998.0,3.27,2.22,1.4,0.29,7.16,367.0
The Legend of Zelda: Twilight Princess,2006.0,3.74,2.14,0.6,0.68,7.15,1658.0
Pokemon Sun/Moon,2016.0,2.98,1.45,2.26,0.45,7.14,24.0
Crash Bandicoot 3: Warped,1998.0,3.68,1.75,1.42,0.28,7.13,432.0
Mario Kart 8,2014.0,3.15,2.15,1.28,0.51,7.09,1599.0
Super Smash Bros. Melee,2001.0,4.41,1.04,1.39,0.22,7.07,568.0
Mario Kart: Double Dash!!,2003.0,4.12,1.77,0.87,0.19,6.95,24.0
Need for Speed Underground 2,2004.0,2.71,3.02,0.08,1.09,6.9,132.0
Medal of Honor: Frontline,2002.0,2.93,2.75,0.17,0.99,6.83,135.0
Crash Bandicoot,1996.0,3.23,2.35,0.94,0.3,6.82,24.0
Just Dance 4,2012.0,4.05,2.16,0.0,0.55,6.76,28.0
Gears of War 2,2008.0,4.15,1.9,0.06,0.64,6.75,2739.0
Uncharted 3: Drake's Deception,2011.0,2.77,2.75,0.19,1.03,6.74,3712.0
Zumba Fitness,2010.0,3.45,2.59,0.0,0.66,6.71,24.0
Call of Duty 4: Modern Warfare,2007.0,3.11,2.26,0.28,1.03,6.68,993.0
Uncharted 2: Among Thieves,2009.0,3.27,2.2,0.21,0.98,6.66,5187.0
FIFA 12,2011.0,0.84,4.3,0.11,1.39,6.65,24.0
Big Brain Academy,2005.0,1.66,2.75,1.6,0.62,6.62,27.0
The Legend of Zelda,1986.0,3.74,0.93,1.69,0.14,6.51,24.0
Red Dead Redemption,2010.0,2.79,2.53,0.17,0.99,6.49,2456.0
FIFA 14,2013.0,0.78,4.24,0.07,1.37,6.47,576.0
Assassin's Creed III,2012.0,2.64,2.52,0.16,1.12,6.45,1307.0
Donkey Kong Country Returns,2010.0,3.17,1.79,1.03,0.46,6.44,368.0
Halo: Combat Evolved,2001.0,4.98,1.3,0.08,0.07,6.43,1283.0
The Elder Scrolls V: Skyrim,2011.0,2.55,2.6,0.25,1.0,6.41,2527.0
Pokémon Emerald Version,2004.0,2.57,1.58,2.06,0.21,6.41,222.0
Kingdom Hearts,2002.0,3.64,1.2,1.49,0.07,6.4,597.0
Pokémon Crystal Version,2000.0,2.55,1.56,1.29,0.99,6.39,24.0
Halo 3: ODST,2009.0,4.34,1.34,0.06,0.61,6.34,1163.0
Red Dead Redemption,2010.0,3.7,1.95,0.09,0.58,6.32,2316.0
Super Mario Sunshine,2002.0,4.01,1.26,0.87,0.17,6.31,439.0
Street Fighter II: The World Warrior,1992.0,2.47,0.83,2.87,0.12,6.3,24.0
World of Warcraft,2004.0,0.08,6.21,0.0,0.0,6.29,2182.0
Driver,1999.0,3.11,2.8,0.02,0.33,6.27,78.0
Gears of War 3,2011.0,4.05,1.59,0.07,0.5,6.21,1504.0
Kinect Sports,2010.0,3.92,1.73,0.03,0.51,6.19,95.0
Gears of War,2006.0,3.54,1.88,0.07,0.6,6.09,2295.0
FIFA 15,2014.0,0.8,4.33,0.05,0.9,6.08,988.0
Metal Gear Solid 2: Sons of Liberty,2001.0,2.45,2.01,0.87,0.72,6.05,1026.0
Sonic the Hedgehog 2,1992.0,4.47,1.2,0.16,0.19,6.03,24.0
Metal Gear Solid,1998.0,3.18,1.83,0.78,0.24,6.03,918.0
Metal Gear Solid 4: Guns of the Patriots,2008.0,2.63,1.71,0.83,0.82,5.99,3558.0
Final Fantasy XII,2006.0,1.88,0.0,2.33,1.74,5.95,972.0
The Last of Us,2013.0,2.41,2.18,0.28,0.99,5.87,8003.0
LittleBigPlanet,2008.0,2.8,1.98,0.17,0.87,5.82,5311.0
Resident Evil 2,1998.0,1.88,1.47,2.02,0.45,5.82,364.0
Dragon Quest IX: Sentinels of the Starry Skies,2009.0,0.63,0.67,4.35,0.15,5.78,197.0
Tekken 2,1996.0,2.26,1.89,1.36,0.23,5.74,102.0
Destiny,2014.0,2.49,2.07,0.16,0.92,5.64,5380.0
LEGO Star Wars: The Complete Saga,2007.0,3.57,1.55,0.0,0.51,5.64,62.0
Cooking Mama,2006.0,3.07,1.91,0.07,0.57,5.63,21.0
Tetris,1988.0,2.97,0.69,1.81,0.11,5.58,24.0
Super Smash Bros.,1999.0,2.95,0.6,1.97,0.04,5.55,24.0
Assassin's Creed II,2009.0,2.54,1.93,0.21,0.86,5.55,1202.0
Assassin's Creed,2007.0,3.28,1.64,0.07,0.56,5.54,1074.0
Forza Motorsport 3,2009.0,2.99,1.9,0.1,0.5,5.49,516.0
Super Mario Advance,2001.0,3.14,1.24,0.91,0.2,5.49,41.0
Monster Hunter Freedom Unite,2008.0,0.47,0.55,4.13,0.34,5.48,124.0
Batman: Arkham City,2011.0,2.71,1.85,0.11,0.81,5.48,2162.0
Grand Theft Auto V,2014.0,2.81,2.19,0.0,0.47,5.48,764.0
Mario Kart: Super Circuit,2001.0,2.62,1.64,0.99,0.23,5.47,108.0
Super Mario World,2001.0,3.21,1.11,0.95,0.2,5.46,24.0
Pokemon Stadium,1999.0,3.18,1.24,0.94,0.09,5.45,24.0
Crash Bandicoot: The Wrath of Cortex,2001.0,2.07,2.29,0.24,0.82,5.42,156.0
Call of Duty: World at War,2008.0,2.73,1.83,0.0,0.83,5.39,409.0
Uncharted 4: A Thief's End,2016.0,1.85,2.5,0.19,0.85,5.38,7064.0
Dr. Mario,1989.0,2.18,0.96,2.0,0.2,5.34,24.0
Final Fantasy XIII,2009.0,1.74,1.21,1.87,0.51,5.33,2483.0
Pokemon Pinball,1999.0,3.02,1.12,1.01,0.16,5.31,24.0
Final Fantasy IX,2000.0,1.62,0.77,2.78,0.14,5.3,779.0
Assassin's Creed III,2012.0,3.13,1.69,0.03,0.44,5.29,1196.0
Final Fantasy X-2,2003.0,1.92,1.08,2.11,0.17,5.29,400.0
Donkey Kong 64,1999.0,3.33,0.79,1.09,0.06,5.27,24.0
Call of Duty: Advanced Warfare,2014.0,3.22,1.55,0.01,0.48,5.27,898.0
Minecraft,2014.0,2.03,2.37,0.0,0.87,5.26,24.0
Assassin's Creed II,2009.0,3.11,1.55,0.08,0.51,5.26,1305.0
Tomb Raider II,1997.0,2.3,2.46,0.2,0.28,5.24,24.0
Madden NFL 2004,2008.0,4.26,0.26,0.01,0.71,5.23,140.0
Tomodachi Life,2013.0,0.97,2.11,1.9,0.24,5.23,24.0
New Super Mario Bros. U,2012.0,2.3,1.34,1.27,0.32,5.22,733.0
Dragon Quest VIII: Journey of the Cursed King,2004.0,0.65,0.75,3.61,0.2,5.21,245.0
Super Mario Bros. 3,2003.0,2.93,1.25,0.83,0.2,5.2,24.0
Professor Layton and the Curious Village,2007.0,1.21,2.43,1.03,0.52,5.19,147.0
Super Mario Land 3: Wario Land,1994.0,2.49,0.98,1.57,0.15,5.19,24.0
FIFA Soccer 13,2012.0,1.09,3.47,0.03,0.57,5.16,403.0
Donkey Kong Country 2: Diddy's Kong Quest,1995.0,2.1,0.74,2.2,0.11,5.15,24.0
Diablo III,2012.0,2.44,2.16,0.0,0.54,5.14,9629.0
Medal of Honor: Rising Sun,2003.0,1.98,2.23,0.13,0.8,5.13,100.0
Kirby's Dream Land,1992.0,2.71,0.61,1.7,0.11,5.13,24.0
Microsoft Flight Simulator,1996.0,3.22,1.69,0.0,0.2,5.12,24.0
Guitar Hero II,2006.0,3.81,0.63,0.0,0.68,5.12,112.0
Fable III,2010.0,3.59,1.08,0.05,0.38,5.1,604.0
Mario & Sonic at the Olympic Games,2008.0,1.63,2.45,0.44,0.57,5.09,24.0
Resident Evil 5,2009.0,1.96,1.41,1.08,0.64,5.09,667.0
The Legend of Zelda: Phantom Hourglass,2007.0,1.85,1.8,0.95,0.48,5.08,416.0
Super Mario Bros.,1999.0,3.4,1.3,0.15,0.22,5.07,24.0
FIFA Soccer 11,2010.0,0.61,3.28,0.06,1.12,5.07,233.0
Resident Evil,1996.0,2.05,1.16,1.11,0.73,5.05,266.0
Grand Theft Auto: Vice City Stories,2006.0,1.7,1.99,0.16,1.18,5.03,150.0
Tony Hawk's Pro Skater,1999.0,3.42,1.38,0.02,0.2,5.02,69.0
Warzone 2100,1999.0,2.79,1.89,0.0,0.33,5.01,24.0
Spyro the Dragon,1998.0,3.36,1.36,0.07,0.21,5.0,24.0
Guitar Hero III: Legends of Rock,2007.0,3.49,0.01,0.01,1.48,4.98,46.0
Link's Crossbow Training,2007.0,3.05,1.17,0.29,0.46,4.98,47.0
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007.0,1.83,1.19,1.54,0.37,4.93,24.0
Fallout 3,2008.0,3.4,0.99,0.09,0.45,4.93,1655.0
Uncharted: Drake's Fortune,2007.0,2.31,1.72,0.12,0.77,4.92,2306.0
Madden NFL 06,2005.0,3.98,0.26,0.01,0.66,4.91,121.0
Diddy Kong Racing,1997.0,2.91,0.99,0.89,0.1,4.88,24.0
Monster Hunter Freedom 3,2010.0,0.0,0.0,4.87,0.0,4.87,24.0
Super Smash Bros. for Wii U and 3DS,2014.0,2.6,1.08,0.81,0.38,4.87,24.0
Dr. Mario,1990.0,2.62,0.6,1.52,0.1,4.85,24.0
StarCraft II: Wings of Liberty,2010.0,2.57,1.68,0.0,0.58,4.84,3052.0
Assassin's Creed,2007.0,1.91,2.0,0.09,0.82,4.82,769.0
God of War III,2010.0,2.74,1.33,0.12,0.61,4.8,2633.0
Crash Team Racing,1999.0,2.57,1.57,0.44,0.21,4.79,233.0
LEGO Star Wars: The Complete Saga,2007.0,2.83,1.48,0.0,0.45,4.76,46.0
Driver 2,2000.0,2.36,2.1,0.02,0.25,4.73,92.0
Batman: Arkham City,2011.0,2.99,1.27,0.04,0.42,4.73,1472.0
The Last of Us,2014.0,1.88,2.0,0.07,0.77,4.71,24.0
The Simpsons: Hit & Run,2003.0,1.73,2.19,0.0,0.79,4.7,24.0
Tony Hawk's Pro Skater 2,2000.0,3.05,1.41,0.02,0.2,4.68,299.0
The Lord of the Rings: The Two Towers,2002.0,1.94,1.95,0.08,0.7,4.67,78.0
Tomb Raider,1996.0,2.29,1.97,0.13,0.24,4.63,147.0
Animal Crossing: City Folk,2008.0,1.82,1.12,1.32,0.36,4.62,119.0
Uncharted: The Nathan Drake Collection,2015.0,2.07,1.71,0.08,0.76,4.62,1264.0
The Legend of Zelda: A Link to the Past,1991.0,2.42,0.91,1.15,0.13,4.61,24.0
The Legend of Zelda: The Wind Waker,2002.0,2.6,0.99,0.89,0.13,4.6,968.0
Guitar Hero III: Legends of Rock,2007.0,3.04,1.11,0.0,0.43,4.6,87.0
Luigi's Mansion: Dark Moon,2013.0,1.8,1.39,1.11,0.29,4.59,458.0
Forza Motorsport 4,2011.0,2.08,1.97,0.06,0.46,4.57,617.0
Mario & Sonic at the Olympic Winter Games,2009.0,1.87,1.96,0.22,0.48,4.53,24.0
Madden NFL 2005,2004.0,4.18,0.26,0.01,0.08,4.53,78.0
Guitar Hero III: Legends of Rock,2007.0,3.19,0.91,0.01,0.42,4.53,165.0
Pitfall!,1981.0,4.21,0.24,0.0,0.05,4.5,24.0
Madden NFL 07,2006.0,3.63,0.24,0.01,0.61,4.49,39.0
Halo 5: Guardians,2015.0,2.78,1.27,0.03,0.41,4.48,2438.0
Spider-Man: The Movie,2002.0,2.71,1.51,0.03,0.23,4.48,41.0
Dragon Quest VII: Warriors of Eden,2000.0,0.2,0.14,4.1,0.02,4.47,24.0
Call of Duty: Infinite Warfare,2016.0,1.61,2.0,0.15,0.71,4.46,1129.0
God of War,2005.0,2.71,1.29,0.02,0.43,4.45,997.0
Splatoon,2015.0,1.54,1.18,1.46,0.26,4.43,1184.0
Nintendo Land,2012.0,2.52,1.11,0.46,0.33,4.42,471.0
Tony Hawk's Pro Skater 3,2001.0,2.66,1.29,0.01,0.46,4.41,298.0
Winning Eleven: Pro Evolution Soccer 2007,2006.0,0.1,2.39,1.05,0.86,4.39,33.0
The Elder Scrolls IV: Oblivion,2006.0,2.82,1.03,0.13,0.4,4.38,1109.0
Zelda II: The Adventure of Link,1987.0,2.19,0.5,1.61,0.08,4.38,24.0
Need for Speed: Most Wanted,2005.0,2.03,1.79,0.08,0.47,4.37,137.0
Michael Jackson: The Experience,2010.0,2.64,1.33,0.01,0.39,4.36,31.0
Call of Duty: Advanced Warfare,2014.0,1.56,1.93,0.19,0.68,4.36,207.0
Resistance: Fall of Man,2006.0,1.74,1.72,0.14,0.75,4.34,715.0
Sonic the Hedgehog,1991.0,3.03,0.91,0.26,0.13,4.34,24.0
Kingdom Hearts II,2005.0,2.2,0.58,1.38,0.17,4.33,766.0
The Legend of Zelda: Ocarina of Time,2011.0,2.09,1.31,0.62,0.31,4.33,24.0
Super Mario 3D World,2013.0,2.11,1.16,0.73,0.32,4.32,1607.0
Minecraft,2014.0,1.48,2.02,0.14,0.68,4.32,24.0
Asteroids,1980.0,4.0,0.26,0.0,0.05,4.31,24.0
Call of Duty: Advanced Warfare,2014.0,2.77,1.11,0.0,0.4,4.29,221.0
FIFA 15,2014.0,0.58,3.02,0.04,0.64,4.28,109.0
Fable II,2008.0,2.51,1.24,0.11,0.41,4.27,2423.0
Namco Museum,2001.0,3.0,1.11,0.05,0.07,4.24,6.0
Batman: Arkham Asylum,2009.0,2.24,1.31,0.07,0.61,4.23,1122.0
Metal Gear Solid 3: Snake Eater,2004.0,1.46,0.0,0.83,1.93,4.23,955.0
Assassin's Creed: Revelations,2011.0,1.41,2.01,0.1,0.7,4.22,613.0
Fallout 4,2015.0,2.51,1.32,0.01,0.38,4.22,1749.0
FIFA 14,2013.0,0.92,2.89,0.01,0.4,4.22,435.0
Daxter,2006.0,2.45,1.01,0.0,0.75,4.21,109.0
Warcraft II: Tides of Darkness,1995.0,1.7,2.27,0.0,0.23,4.21,24.0
FIFA Soccer 06,2005.0,0.78,2.55,0.04,0.84,4.21,47.0
EyeToy Play,2003.0,0.88,2.3,0.2,0.83,4.2,22.0
Gran Turismo 5 Prologue,2007.0,1.28,1.82,0.57,0.52,4.19,120.0
Assassin's Creed: Revelations,2011.0,2.25,1.47,0.04,0.43,4.19,564.0
FIFA 12,2011.0,0.84,2.78,0.02,0.53,4.18,24.0
Teenage Mutant Ninja Turtles,1989.0,3.38,0.44,0.31,0.04,4.17,24.0
Street Fighter IV,2009.0,2.03,1.04,0.58,0.52,4.16,330.0
Excitebike,1984.0,2.04,0.48,1.57,0.07,4.16,24.0
Frogger,1997.0,3.79,0.27,0.0,0.11,4.16,24.0
Madden NFL 2003,2002.0,3.36,0.21,0.01,0.56,4.14,65.0
Half-Life,1997.0,4.03,0.0,0.09,0.0,4.12,3161.0
Super Mario World 2: Yoshi's Island,1995.0,1.65,0.61,1.76,0.09,4.12,24.0
FIFA Soccer 07,2006.0,0.71,2.48,0.03,0.89,4.11,24.0
Street Fighter II Turbo,1992.0,1.42,0.51,2.1,0.07,4.1,24.0
World of Warcraft: The Burning Crusade,2007.0,2.57,1.52,0.0,0.0,4.09,785.0
Battlefield 1,2016.0,1.1,2.15,0.21,0.61,4.08,809.0
God of War II,2007.0,2.32,0.04,0.04,1.67,4.07,709.0
World Soccer Winning Eleven 9,2005.0,0.12,2.26,0.9,0.77,4.06,23.0
Fallout: New Vegas,2010.0,2.66,1.03,0.04,0.33,4.05,769.0
Forza Motorsport 2,2007.0,2.35,1.27,0.03,0.41,4.05,381.0
Carnival Games,2007.0,2.12,1.47,0.05,0.42,4.05,44.0
Watch Dogs,2014.0,1.4,1.9,0.11,0.64,4.05,2996.0
Namco Museum Vol.3,1996.0,2.28,1.55,0.16,0.06,4.05,24.0
Tekken Tag Tournament,2000.0,1.68,1.51,0.51,0.35,4.05,117.0
Far Cry 4,2014.0,1.13,2.18,0.1,0.63,4.04,1653.0
Star Fox 64,1997.0,2.78,0.58,0.64,0.04,4.03,24.0
Golf,1984.0,1.22,0.28,2.46,0.04,4.01,24.0
Namco Museum: 50th Anniversary,2005.0,2.08,1.35,0.0,0.54,3.98,24.0
Left 4 Dead 2,2009.0,2.67,0.87,0.05,0.38,3.97,681.0
The Witcher 3: Wild Hunt,2015.0,1.02,2.13,0.23,0.59,3.97,10179.0
Assassin's Creed: Unity,2014.0,1.19,2.07,0.08,0.62,3.96,2050.0
Batman: Arkham Knight,2015.0,1.53,1.69,0.1,0.64,3.95,2679.0
The Legend of Zelda: Skyward Sword,2011.0,2.03,1.16,0.37,0.38,3.95,1958.0
Fallout 3,2008.0,2.15,1.13,0.07,0.59,3.94,910.0
Professor Layton and the Diabolical Box,2007.0,0.9,1.76,0.92,0.37,3.94,72.0
Donkey Kong Land,1994.0,1.97,0.76,1.07,0.11,3.91,24.0
EA Sports Active,2009.0,2.09,1.35,0.06,0.4,3.9,39.0
Tony Hawk's Underground,2003.0,2.29,1.17,0.01,0.42,3.9,121.0
Monster Hunter 4 Ultimate,2014.0,0.68,0.48,2.62,0.11,3.89,348.0
The Elder Scrolls V: Skyrim,2011.0,1.16,2.12,0.0,0.6,3.88,9073.0
NBA 2K16,2015.0,2.49,0.66,0.03,0.69,3.88,364.0
Tekken 5,2005.0,0.93,1.94,0.31,0.7,3.87,229.0
Dragon Warrior III,1988.0,0.1,0.0,3.77,0.0,3.87,24.0
MotorStorm,2006.0,1.53,1.6,0.06,0.67,3.87,220.0
Nintendogs + cats,2011.0,1.44,1.41,0.73,0.27,3.85,24.0
World Soccer Winning Eleven 8 International,2004.0,0.16,1.89,1.12,0.68,3.85,38.0
Sports Champions,2010.0,2.13,1.12,0.1,0.5,3.84,104.0
Namco Museum Vol.1,1995.0,2.12,1.44,0.22,0.06,3.84,24.0
The Legend of Zelda: Link's Awakening,1992.0,2.21,0.96,0.54,0.13,3.83,24.0
Call of Duty: Ghosts,2013.0,1.78,1.43,0.05,0.57,3.83,1564.0
Flash Focus: Vision Training in Minutes a Day,2007.0,0.86,1.56,1.05,0.35,3.83,4.0
Tom Clancy's The Division,2016.0,1.35,1.7,0.15,0.6,3.8,2219.0
Big Brain Academy: Wii Degree,2007.0,1.05,1.91,0.41,0.42,3.79,39.0
Resident Evil Director's Cut,1996.0,1.82,1.24,0.47,0.25,3.77,24.0
Mario & Luigi: Bowser's Inside Story,2009.0,2.23,0.47,0.81,0.26,3.77,24.0
LEGO Indiana Jones: The Original Adventures,2008.0,2.4,1.01,0.0,0.36,3.76,66.0
The Sims: Unleashed,2002.0,2.03,1.56,0.0,0.17,3.76,29.0
Ratchet & Clank: Size Matters,2007.0,1.4,1.39,0.1,0.86,3.74,24.0
Harry Potter and the Sorcerer's Stone,2001.0,1.37,2.0,0.14,0.22,3.73,41.0
Mario & Sonic at the London 2012 Olympic Games,2011.0,1.12,1.87,0.27,0.45,3.72,24.0
Resident Evil 3: Nemesis,1999.0,1.3,0.77,1.54,0.11,3.72,24.0
Super Paper Mario,2007.0,1.95,0.86,0.59,0.31,3.71,417.0
